Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
3/15/2026,3/15/2026,3/17/2026,PLTR,Palantir Technologies,Buy,10,$25.50,($255.00)
3/16/2026,3/16/2026,3/18/2026,AAPL,Apple Inc.,Buy,5,$180.00,($900.00)
3/20/2026,3/20/2026,3/22/2026,PLTR,Palantir Technologies,Buy,5,$26.00,($130.00)
3/25/2026,3/25/2026,3/27/2026,PLTR,Palantir Technologies,Sell,15,$28.00,$420.00
3/30/2026,3/30/2026,4/1/2026,PLTR,Palantir Technologies,Buy,8,$27.50,($220.00)
2/10/2026,2/10/2026,2/12/2026,PLTR,PLTR 4/19/2026 Call $30.00,BTO,3,$2.50,($750.00)
3/15/2026,3/15/2026,3/17/2026,PLTR,PLTR 4/19/2026 Call $30.00,STC,2,$3.00,$600.00
4/19/2026,4/19/2026,4/19/2026,PLTR,PLTR 4/19/2026 Call $30.00,OEXP,1S,,
1/15/2026,1/15/2026,1/15/2026,,Brokerage deposit,ACH,,,$5000.00
2/10/2026,2/10/2026,2/10/2026,,Faster deposit,RTP,,,$1000.00
3/01/2026,3/01/2026,3/01/2026,AAPL,Apple Inc. cash dividend,CDIV,,,$12.50
3/05/2026,3/05/2026,3/05/2026,,Cash sweep interest,INT,,,$3.42
1/20/2026,1/20/2026,1/20/2026,,Robinhood Gold,GOLD,,,($5.00)
2/15/2026,2/15/2026,2/15/2026,,Margin interest,GDBP,,,($0.50)
,,,,,,,,
3/29/2026,3/29/2026,3/29/2026,XYZQQ,Some unknown,WHAT,,,$100.00
2/28/2026,2/28/2026,2/28/2026,GOOG,Alphabet,Sell,3,$150.00,$450.00
